anchor_index,row,col,window,anchor_score,formula_id,formula_human,method_id,n_frames,mask_density,mean_motion_energy,max_motion_energy,temporal_stability_mean,structure_preservation,formula_region_motion_ratio,projection_alignment_mean,projected_motion_gain,base_png,final_png,motion_energy_png,temporal_delta_png,projection_map_png,mask_png,framesheet_png,temporal_patch_mat
1,379,129,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m01_projection_visible,16,0.0716552734375,0.2174615,1,0.970692352453868,0.976936936378479,2.627224,0.5692939,1.495663,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_base.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_final.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_motion_energy.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_temporal_delta.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_projection_map.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_mask.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_framesheet.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_temporal_patch.mat
1,379,129,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m02_projection_balanced,16,0.094451904296875,0.210546,1,0.986626482009888,0.974025130271912,2.437392,0.5116776,1.247159,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_base.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_final.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_motion_energy.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_temporal_delta.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_projection_map.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_mask.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_framesheet.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_temporal_patch.mat
1,379,129,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m03_projection_structural,16,0.124832153320312,0.1624303,1,0.990169171492259,0.96917188167572,2.948245,0.5028467,1.482515,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_base.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_final.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_motion_energy.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_temporal_delta.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_projection_map.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_mask.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_framesheet.png,yehoshua_v16_3_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_temporal_patch.mat
2,644,132,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m01_projection_visible,16,0.07159423828125,0.223127,1,0.97535711924235,0.977743744850159,2.561438,0.5544267,1.420129,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_base.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_final.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_motion_energy.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_temporal_delta.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_projection_map.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_mask.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_framesheet.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_temporal_patch.mat
2,644,132,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m02_projection_balanced,16,0.0947723388671875,0.2295946,1,0.988520932197571,0.975234031677246,2.287035,0.5020193,1.148136,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_base.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_final.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_motion_energy.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_temporal_delta.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_projection_map.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_mask.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_framesheet.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_temporal_patch.mat
2,644,132,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m03_projection_structural,16,0.125213623046875,0.1799623,1,0.991159617900848,0.971496284008026,2.710333,0.5051258,1.369059,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_base.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_final.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_motion_energy.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_temporal_delta.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_projection_map.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_mask.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_framesheet.png,yehoshua_v16_3_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_temporal_patch.mat
3,210,173,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m01_projection_visible,16,0.0716094970703125,0.200216,1,0.980994252363841,0.981738209724426,2.723172,0.5406696,1.472337,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_base.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_final.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_motion_energy.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_temporal_delta.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_projection_map.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_mask.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_framesheet.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_temporal_patch.mat
3,210,173,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m02_projection_balanced,16,0.094635009765625,0.2110438,1,0.991468807061513,0.980081260204315,2.522821,0.5177547,1.306202,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_base.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_final.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_motion_energy.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_temporal_delta.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_projection_map.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_mask.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_framesheet.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_temporal_patch.mat
3,210,173,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m03_projection_structural,16,0.124923706054688,0.169374,1,0.993139231204987,0.976588487625122,2.9838,0.5481102,1.635451,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_base.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_final.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_motion_energy.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_temporal_delta.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_projection_map.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_mask.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_framesheet.png,yehoshua_v16_3_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_temporal_patch.mat
4,511,236,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m01_projection_visible,16,0.071533203125,0.3244022,1,0.956510897477468,0.985094785690308,1.335842,0.4918074,0.6569769,yehoshua_v16_3_candidate_a04_r0511_c0236_w256_base.png,yehoshua_v16_3_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_final.png,yehoshua_v16_3_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_motion_energy.png,yehoshua_v16_3_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_temporal_delta.png,yehoshua_v16_3_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_projection_map.png,yehoshua_v16_3_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_mask.png,yehoshua_v16_3_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_framesheet.png,yehoshua_v16_3_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_temporal_patch.mat
