source_sample,t_step,tau,speed,accel,jerk,S_projection_norm,S_temporal_norm,S_multiscale_norm,S_memory_norm,S_combined_norm
765888,0,0,0,0,0,0.77702537605379,0,0.00283982641729209,0.00188080030430247,0.447220474423497
765889,1,2.53100480890914e-05,0.0610864023798674,0.0610864023798674,0.0610864023798674,0.784811797548673,0.0262492424469294,0.00336766344909208,0.0675591744813379,0.47274810836376
765890,2,5.06200961781827e-05,0.0533242038943301,-0.00776219848553735,-0.0688486008654048,0.79187586805255,0.0153275060938096,0.00379233202916702,0.126499134322258,0.480632429157133
765891,3,7.59301442672741e-05,0.051342824248929,-0.00198137964540109,0.00578081884013627,0.798554328754153,0.0111917076676543,0.00419232536825565,0.179789738531077,0.49045128013909
765892,4,0.000101240192356365,0.0483394211588707,-0.00300340309005832,-0.00102202344465723,0.804782102133647,0.0105550603274363,0.00227450493221484,0.228042761228788,0.499813840017301
765893,5,0.000126550240445457,0.0493520735827305,0.00101265242385985,0.00401605551391817,0.810774588775803,0.0105308495236592,0.00210166898779108,0.271902992799395,0.509454254501589
765894,6,0.000151860288534548,0.0431498573253194,-0.00620221625741114,-0.00721486868127099,0.816164863192654,0.0103271253017612,0.00204590610625854,0.311760023880678,0.518145891806377
765895,7,0.00017717033662364,0.0406892504643544,-0.00246060686096495,0.00374160939644619,0.82113916722715,0.00899489215961452,0.00203111088759048,0.347914349033604,0.5255966557821
765896,8,0.000202480384712731,0.0402568611701999,-0.000432389294154518,0.00202821756681043,0.825799209201367,0.00846581074218411,0.00192340174417583,0.380761096701316,0.532708065109924
765897,9,0.000227790432801822,0.0343383114586103,-0.00591854971158962,-0.0054861604174351,0.829854589887986,0.00838527710969348,0.00179684239315021,0.410610723576468,0.539223126491791
765898,10,0.000253100480890914,0.030594166136389,-0.00374414532222131,0.00217440438936831,0.833409572111506,0.00707887786325556,0.00172360852545363,0.437647982798079,0.544531722623052
765899,11,0.000278410528980005,0.0274103361416265,-0.00318382999476246,0.000560315327458854,0.836485994597665,0.00625231864057516,0.00164675403069957,0.462147223760617,0.549404816981987
765900,12,0.000303720577069096,0.0249923428360322,-0.00241799330559433,0.000765836689168128,0.839118080831915,0.00562383511429002,0.00159072317622913,0.484341289988672,0.553783197744148
765901,13,0.000329030625158188,0.0249976477022911,5.30486625889559e-06,0.00242329817185323,0.841429277459176,0.00525871762103526,0.00154909162606977,0.504454236171,0.557798977604595
765902,14,0.000354340673247279,0.0193276246534471,-0.00567002304884399,-0.00567532791510288,0.843092205218857,0.0052529961719001,0.000560028985740361,0.522601759135081,0.560890169550142
765903,15,0.000379650721336371,0.017802722937168,-0.00152490171627908,0.0041451213325649,0.844328749766107,0.00412328058953032,0.000379409795150843,0.53892540922232,0.563330879347947
765904,16,0.000404960769425462,0.0149571077127303,-0.00284561522443769,-0.0013207135081586,0.845039077349883,0.00365545919486302,0.000223624611050344,0.553607994351278,0.565522870042691
765905,17,0.000430270817514553,0.0134025093889066,-0.00155459832382374,0.00129101690061395,0.845270034495403,0.00309996520271271,4.84558612935269e-05,0.566766653392316,0.567164478698623
765906,18,0.000455580865603645,0.0125865853688155,-0.000815924020091117,0.000738674303732624,0.845028223030894,0.00277454303321333,0,0.578537125878265,0.568480974753239
765907,19,0.000480890913692736,0.01230589480246,-0.00028069056635543,0.000535233453735687,0.844296765968139,0.00261114289061119,0.000122077785195505,0.589038215609548,0.569467895295986
765908,20,0.000506200961781827,0.0130129693035138,0.00070707450105374,0.00098776506740917,0.843098344128609,0.00285335546168188,0.000242878017842349,0.598383293901841,0.570186107863795
765909,21,0.000531511009870919,0.0168742053403202,0.0038612360368064,0.00315416153575266,0.841782838239601,0.00431253633047271,0.000437300381421246,0.606763027540071,0.571262638607109
765910,22,0.00055682105796001,0.0160140212345796,-0.000860184105740572,-0.00472142014254697,0.839627110981384,0.0036586256072606,0.000662450111539736,0.614065456484719,0.570767800912344
765911,23,0.000582131106049102,0.0181346338039729,0.0021206125693933,0.00298079667513387,0.836987716238111,0.00425004597835182,0.000960648667563895,0.620441873513063,0.57042483052034
765912,24,0.000607441154138193,0.0202993465974115,0.00216471279343857,4.41002240452702e-05,0.833915857447336,0.0045795748238516,0.00119741376207325,0.625926757268594,0.569553180073198
765913,25,0.000632751202227284,0.0228685350399705,0.00256918844255899,0.000404475649120425,0.830348075904498,0.00519788980771633,0.00151135829144236,0.630589842847262,0.568424587652589
765914,26,0.000658061250316376,0.0251931814774256,0.00232464643745516,-0.000244542005103834,0.826350045100557,0.00562619538964442,0.0018529820420503,0.634465575372784,0.566853347615498
765915,27,0.000683371298405467,0.0272107239255408,0.00201754244811521,-0.000307103989339946,0.821979330756137,0.00598930840767231,0.0021415384574463,0.637592936492556,0.564899264984552
765916,28,0.000708681346494558,0.0302127392189132,0.00300201529337238,0.000984472845257166,0.81708111426875,0.00681532418112438,0.0024498225648402,0.640031737409496,0.562738288854534
765917,29,0.00073399139458365,0.0315527385229045,0.00133999930399125,-0.00166201598938113,0.811912228036249,0.00681964049665966,0.00281445627230557,0.64177832019414,0.559982119856743
765918,30,0.000759301442672741,0.033949712142056,0.00239697361915152,0.00105697431516027,0.806302918574109,0.00747949884024066,0.00314276817648101,0.642903460776945,0.557141173048482
