id,dataset_path,output_file,matlab_class,dimensions,rank,element_count,bytes_in_memory,finite_count,nan_count,inf_count,min_value,max_value,mean_value,std_value,mat_file_sha256
1,/n_2_e8_lattice/roots_2d,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/001_n_2_e8_lattice__roots_2d.mat,single,[2 240],2,480,1920,480,0,0,-1,1,0,0.372663278232404,c902c1722752ec516cfb3c86ba5e42509ed8c097883d9c46f7d2b162b8ea9f5c
2,/n_2_e8_lattice/connections/a,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/002_n_2_e8_lattice__connections__a.mat,single,[2 1832],2,3664,14656,3664,0,0,-0.91608190536499,0.807451784610748,0.000171556803458838,0.298891796367649,ce6400c516c74564fb366105ae0ba9fd51a2baaff06c8f855c61158936cddcd1
3,/n_2_e8_lattice/connections/b,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/003_n_2_e8_lattice__connections__b.mat,single,[2 1832],2,3664,14656,3664,0,0,-0.807451784610748,0.91608190536499,-0.000171556803458838,0.296935446763357,bdd861e8dd5f8bf30d0bfae8ad9533527eec3745f45884d8d8d37055b62a69f5
4,/n_2_e8_lattice/connections/d,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/004_n_2_e8_lattice__connections__d.mat,single,[1832 1],2,1832,7328,1832,0,0,0.0113389464095235,0.219964057207108,0.127293015981711,0.0653756865759643,f190e092a1809a860f62e177ba0d38a9ed477a0f18c9b208a0ee578664f74e41
5,/n_2_e8_lattice/laplacian_modes/modes,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/005_n_2_e8_lattice__laplacian_modes__modes.mat,single,[12 240],2,2880,11520,2880,0,0,-1,0.450707674026489,-0.00570390571828607,0.0643083825269592,68010be71c1683af6e7c28435cd63c493e4f13c927b6311943f2e5b038e11d30
6,/n_2_e8_lattice/laplacian_modes/xy,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/006_n_2_e8_lattice__laplacian_modes__xy.mat,single,[2 240],2,480,1920,480,0,0,-1,1,0,0.372663278232404,a504a7f50589f8ede2b6e6f553b18de4872b598e8a6470a4c52e4483eec1f873
7,/n_2_e8_lattice/streamlines/logmag,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/007_n_2_e8_lattice__streamlines__logmag.mat,single,[278629 1],2,278629,1114516,278629,0,0,-0.507802069187164,4.77460098266602,4.04772787341624,0.586604659597301,e2cfe239605808f24c56fba72a34bb63bf85d215d5bc4de55673d815e130b3ee
8,/n_2_e8_lattice/streamlines/sid,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/008_n_2_e8_lattice__streamlines__sid.mat,uint16,[278629 1],2,278629,557258,278629,0,0,1,1200,602.766657454895,345.71704827839,b3619ad88fa77ce56589d718a2731766aa0b261002c0dbd622ab4866a1a713bd
9,/n_2_e8_lattice/streamlines/xy,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/01_n_2_e8_lattice/009_n_2_e8_lattice__streamlines__xy.mat,single,[2 278629],2,557258,2229032,557258,0,0,-1.00019311904907,1.00135135650635,0.034175920315812,0.444546025544706,95ede5857900000a44c4a8ea3010707ac979b0c39013451c7a315c5562d207ae
10,/n_3_defect_topology/charge,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/04_h5_tensor_extracts/02_n_3_defect_topology/010_n_3_defect_topology__charge.mat,int8,[2500 1],2,2500,2500,2500,0,0,-4,3,0.0168,1.10426696147666,38ae4c9657b87a1632a6e1eba05db9931645515074e9b06b9cd14fd75b96afa5
