peak_order,source_sample,target_time_sec,phase_rad,cycle_id,salience_value,next_interval_samples,next_interval_sec
1,766056,0.127562642369021,0,0,0.925777310433155,310,0.23538344722855
2,766366,0.36294608959757,1.94778744522567,0,0.97032724755456,964,0.731966590736522
3,767330,1.09491268033409,1.72159277416721,1,0.950482614596534,1098,0.83371298405467
4,768428,1.92862566438876,2.33734493427081,2,0.995541135732333,1017,0.772209567198178
5,769445,2.70083523158694,2.44415908449286,3,0.964883525660358,915,0.694760820045558
6,770360,3.3955960516325,1.91008833338259,4,0.997483830961469,727,0.552012148823083
7,771087,3.94760820045558,0.194778744522566,5,0.935561435718971,281,0.21336370539104
8,771368,4.16097190584662,1.96035381584004,5,0.976016671313056,1060,0.804859529233106
9,772428,4.96583143507973,2.3373449342708,6,0.988595731963312,906,0.687927107061503
10,773334,5.65375854214123,1.74672551539592,7,0.952937959412236,1002,0.760820045558087
11,774336,6.41457858769932,1.75929188601028,8,1,305,0.231586940015186
12,774641,6.6461655277145,3.67566340470006,8,0.924078001243372,717,0.544419134396355
13,775358,7.19058466211086,1.89752196276823,9,0.991913860408549,668,0.507213363705391
14,776026,7.69779802581625,6.0946897479642,9,0.927652550788871,408,0.309794988610478
15,776434,8.00759301442673,2.37504404611389,10,0.987714579996442,1001,0.760060744115414
16,777435,8.76765375854214,2.38132723142107,11,0.970121370363389,840,0.637813211845103
17,778275,9.40546697038724,1.37601758227233,12,0.948744646603032,1083,0.822323462414579
18,779358,10.2277904328018,1.89752196276823,13,0.967058870373258,941,0.714502657555049
19,780299,10.9422930903569,1.52681402964463,14,0.964218633342472,790,0.599848139711465
20,781089,11.5421412300683,0.207345115136924,15,0.921729124433191,340,0.258162490508732
21,781429,11.8003037205771,2.34362811957799,15,0.974523323860911,647,0.491268033409264
22,782076,12.2915717539863,0.125663706143598,16,0.940998221334825,368,0.279422930903569
23,782444,12.5709946848899,2.43787589918568,16,0.958602229899846,911,0.691723614274867
24,783355,13.2627182991648,1.8786724068467,17,0.94545080854083,984,0.747152619589977
25,784339,14.0098709187547,1.77814144193182,18,0.970027474561741,993,0.753986332574032
26,785332,14.7638572513288,1.73415914478156,19,0.963734668573907,932,0.707668944570995
27,786264,15.4715261958998,1.30690254389334,20,0.985610724931236,1177,0.893697798025816
28,787441,16.3652239939256,2.41902634326414,21,0.993489037304194,899,0.682611996962794
29,788340,17.0478359908884,1.78442462723901,22,0.987467202013645,955,0.725132877752468
30,789295,17.7729688686409,1.50168128841593,23,0.982506170149899,792,0.601366742596811
31,790087,18.3743356112377,0.19477874452258,24,0.931334884677275,348,0.264236902050114
32,790435,18.6385725132878,2.38132723142107,24,0.979970463859381,617,0.468488990129081
33,791052,19.1070615034169,6.25805256595086,24,0.932343547386156,378,0.287015945330296
34,791430,19.3940774487472,2.34991130488516,25,0.956272390429256,627,0.476082004555809
35,792057,19.870159453303,0.00628318530716854,26,0.926949480095676,377,0.286256643887623
36,792434,20.1564160971906,2.3750440461139,26,0.976093671646322,861,0.65375854214123
37,793295,20.8101746393318,1.5016812884159,27,0.989519820797845,264,0.200455580865604
38,793559,21.0106302201974,3.16044220951132,27,0.941981572203185,890,0.67577828397874
39,794449,21.6864085041762,2.4692918257216,28,0.976531235254303,887,0.673500379650721
40,795336,22.3599088838269,1.75929188601027,29,0.949466352518025,988,0.750189825360668
41,796324,23.1100987091876,1.68389366232411,30,0.951694184122541,1125,0.854214123006834
42,797449,23.9643128321944,2.46929182572159,31,0.985061511705612,888,0.674259681093394
43,798337,24.6385725132878,1.76557507131744,32,0.97246896910013,1061,0.805618830675778
44,799398,25.4441913439636,2.1488493750554,33,0.956548918070224,960,0.728929384965831
45,800358,26.1731207289294,1.89752196276821,34,0.958232787239197,728,0.552771450265756
46,801086,26.7258921791951,0.18849555921539,35,0.938867240966711,357,0.271070615034169
47,801443,26.9969627942293,2.43159271387852,35,0.993847906107182,904,0.686408504176158
48,802347,27.6833712984055,1.82840692438924,36,0.96165451517161,999,0.758542141230068
49,803346,28.4419134396355,1.82212373908207,37,0.983092601873881,260,0.197418375094913
50,803606,28.6393318147305,3.45575191894878,37,0.921409140934934,477,0.362186788154898
51,804083,29.0015186028853,0.169646003293863,38,0.931487559773464,289,0.219438116932422
52,804372,29.2209567198178,1.98548655706877,38,0.973809108842462,790,0.599848139711465
53,805162,29.8208048595292,0.666017642561052,39,0.937338956133476,NaN,NaN
