time_sec,timekernel_signal
0,0.102054213408231
0.0166666666666667,0.174872913985079
0.0333333333333333,0.277917916187986
0.05,0.409651018643891
0.0666666666666667,0.560036060829237
0.0833333333333333,0.710106061169057
0.1,0.835095968999908
0.116666666666667,0.9108691841734
0.133333333333333,0.922238740635112
0.15,0.866682695830379
0.166666666666667,0.757657855050621
0.183333333333333,0.619557927298013
0.2,0.481198296321148
0.216666666666667,0.36907243581556
0.233333333333333,0.302870973920389
0.25,0.293652736519177
0.266666666666667,0.343534777529105
0.283333333333333,0.445574966694841
0.3,0.583601031524086
0.316666666666667,0.733078047515093
0.333333333333333,0.864483556651467
0.35,0.949546310635756
0.366666666666667,0.968776534392763
0.383333333333333,0.917060000906511
0.4,0.805486095302242
0.416666666666667,0.656183855489966
0.433333333333333,0.495793062757719
0.45,0.347442403544554
0.466666666666667,0.22582528553485
0.483333333333333,0.136134886463343
0.5,0.0761154830118959
0.516666666666667,0.0394714178752585
0.533333333333333,0.0189844437561213
0.55,0.00846871644356098
0.566666666666667,0.00350381252215671
0.583333333333333,0.00134451771371591
0.6,0.000478512515855766
0.616666666666667,0
0.633333333333333,0
0.65,0
0.666666666666667,0
0.683333333333333,0
0.7,0
0.716666666666667,0
0.733333333333333,0
0.75,0
0.766666666666667,0
0.783333333333333,0
0.8,0
0.816666666666667,0
0.833333333333333,0
0.85,0
0.866666666666667,0.00081683661144039
0.883333333333333,0.00220551048245888
0.9,0.00552318778835395
0.916666666666667,0.0128285606692616
0.933333333333333,0.0276359264320616
0.95,0.0552177202529956
0.966666666666667,0.102327292558537
0.983333333333333,0.175878649096905
1,0.280377581979551
1.01666666666667,0.41455671360719
1.03333333333333,0.568497000481306
1.05,0.723064311179939
1.06666666666667,0.852964620590019
1.08333333333333,0.933235222049054
1.1,0.94701695567112
1.11666666666667,0.89131513541468
1.13333333333333,0.778057887679982
1.15,0.629940735532951
1.16666666666667,0.473036364947574
1.18333333333333,0.329455041548987
1.2,0.212815946831838
1.21666666666667,0.127502292022716
1.23333333333333,0.0708495201253165
1.25,0.0365140549571086
1.26666666666667,0.0174536569278748
1.28333333333333,0.00773775312221916
1.3,0.00318158897935683
1.31666666666667,0.00121331235737918
1.33333333333333,0.000429139956993824
1.35,0
1.36666666666667,0
1.38333333333333,0
1.4,0
1.41666666666667,0
1.43333333333333,0
1.45,0
1.46666666666667,0
1.48333333333333,0
1.5,0
1.51666666666667,0
1.53333333333333,0
1.55,0
1.56666666666667,0
1.58333333333333,0
1.6,0
1.61666666666667,0
1.63333333333333,0
1.65,0
1.66666666666667,0
1.68333333333333,0
1.7,0.000835555471305052
1.71666666666667,0.00226007578441186
1.73333333333333,0.00566983696439767
1.75,0.0131922655497689
1.76666666666667,0.0284689007352638
1.78333333333333,0.0569804173730192
1.8,0.105775512847803
1.81666666666667,0.182116822019831
1.83333333333333,0.290817857763859
1.85,0.430723617333295
1.86666666666667,0.591675076124466
1.88333333333333,0.75383284102659
1.9,0.890787426452545
1.91666666666667,0.976293168673256
1.93333333333333,0.992414991180907
1.95,0.935648801791807
1.96666666666667,0.81816017761357
1.98333333333333,0.663542914964112
2,0.49911892808338
2.01666666666667,0.348213926106504
2.03333333333333,0.225318223145934
2.05,0.135224317050954
2.06666666666667,0.0752699496866892
2.08333333333333,0.0388594544633535
2.1,0.018607145524636
2.11666666666667,0.00826362060326542
2.13333333333333,0.00340383084863623
2.15,0.00130038462186045
2.16666666666667,0.000460766667362181
2.18333333333333,0
2.2,0
2.21666666666667,0
2.23333333333333,0
2.25,0
2.26666666666667,0
2.28333333333333,0
2.3,0
2.31666666666667,0
2.33333333333333,0
2.35,0
2.36666666666667,0
2.38333333333333,0
2.4,0
2.41666666666667,0
2.43333333333333,0
2.45,0
2.46666666666667,0.00057213775080655
2.48333333333333,0.00158671909167635
