dataset_path,shape,class,finite_fraction,minimum,maximum,mean,std,energy,entropy,lag1,structure_score
/n_2_e8_lattice/roots_2d,[2 240],single,1,-1,1,0,0.372663278232404,0.138588589945125,0.920744031146887,-0.0336864235806996,0.600485845610508
/n_2_e8_lattice/connections/a,[2 1832],single,1,-0.91608190536499,0.807451784610748,0.000171556803458838,0.298891796367649,0.0893119531880493,0.90101814626578,-0.0162502795880422,0.589123785335227
/n_2_e8_lattice/connections/b,[2 1832],single,1,-0.807451784610748,0.91608190536499,-0.000171556803458838,0.296935446763357,0.0881466249316554,0.901460980652085,-0.0276084050054469,0.592017501398253
/n_2_e8_lattice/connections/d,[1832 1],single,1,0.0113389464095235,0.219964057207108,0.127293015981711,0.0653756865759643,0.0204751593542678,0.759853618497719,-0.0275590890257168,0.549227957917314
/n_2_e8_lattice/laplacian_modes/modes,[12 240],single,1,-1,0.450707674026489,-0.00570390571828607,0.0643083825269592,0.00416666664254375,0.536391856664995,-0.00033110287981416,0.486517934216
/n_2_e8_lattice/laplacian_modes/xy,[2 240],single,1,-1,1,0,0.372663278232404,0.138588589945125,0.920744031146887,-0.0336864235806996,0.600485845610508
/n_2_e8_lattice/streamlines/logmag,[278629 1],single,1,-0.507802069187164,4.77460098266602,4.04772787341624,0.586604659597301,16.7282047288983,0.659908718835539,0.996251646423638,0.781349952517013
/n_2_e8_lattice/streamlines/sid,[278629 1],uint16,1,1,1200,602.766657454895,345.71704827839,482847.491851171,0.99975256592928,0.999999982075189,0.999938137001117
/n_2_e8_lattice/streamlines/xy,[2 278629],single,1,-1.00019311904907,1.00135135650635,0.034175920315812,0.444546025544706,0.198788807725655,0.9056868436722,0.0614268602025557,0.605570742332303
/n_3_defect_topology/charge,[2500 1],int8,1,-4,3,0.0168,1.10426696147666,1.2192,0.331115412628199,0.0184819242723365,0.465298103087295
/n_3_defect_topology/degree,[2500 1],int8,1,3,10,5.9832,1.10426696147666,37.0176,0.331115412628199,0.0184819242723365,0.465298103087295
/n_3_defect_topology/pos,[2 2500],single,1,-1.61449503898621,1.54541456699371,-0.00613823315750924,0.605338716560678,0.366399352681272,0.937973774647538,0.0186193230552405,0.606898328400898
/n_4_geodesic_field/curl,[48400 1],single,1,-12.6009435653687,13.1933851242065,-6.21882035307517e-12,1.22585626766939,1.5026925409763,0.138624191865651,0.962750827414054,0.655349067856994
/n_4_geodesic_field/raw_points,[2 194527],single,1,-0.934298276901245,0.950641751289368,-0.000715964502592912,0.154193521278625,0.0237760934980518,0.736124176625879,0.0015070435735052,0.539785374428914
/n_4_geodesic_field/vel,[2 48400],single,1,-0.999995648860931,0.999995648860931,-0.000122248778923485,0.0971417574588151,0.00943643850222969,0.0579669660095512,0.00228149886380569,0.368538681060374
/n_4_geodesic_field/xy,[2 48400],single,1,-1.10000002384186,1.10000002384186,0,0.637981933909369,0.407016743232879,0.995907022150739,3.07125291375694e-05,0.61748936952037
/n_5_composite_field_1000x1000/data,[5 1000000],single,1,0,1,0.335358783772004,0.197695296813411,0.151548936418494,0.825780738636347,-0.367570022996667,0.655102657562566
/n_6_field_maps_v3_800x800/chamber_field/data,[3 640000],single,1,0,1,0.419856533979001,0.359694988191539,0.305659926269302,0.779869028478424,-0.395592807593538,0.655387724063229
/n_6_field_maps_v3_800x800/fuchsian_tiling/data,[5 640000],single,1,0,1,0.179665091150773,0.327389909151943,0.139463664097686,0.410424355834864,-0.129487003440491,0.495598385058939
/n_6_field_maps_v3_800x800/ginibre_field/data,[3 640000],single,1,0,1,0.230726408669464,0.33634938623821,0.166365526357981,0.50864914728024,0.385313170614224,0.584363387882503
/n_6_field_maps_v3_800x800/modular_eta/data,[3 640000],single,1,0,1,0.643769723221128,0.469908540750343,0.635253378199014,0.331480683707142,0.433621742450074,0.555720613352245
/n_6_field_maps_v3_800x800/weyl_field/data,[5 640000],single,1,-13.6551094055176,239.989440917969,7.38356105032536,25.7284885052324,716.471887686783,0.521107957127814,0.0862716185842073,0.625059768245384
/n_7_apollonian_circle_model/e8_chamber_angles,[9 1],double,1,0,5.49778714378214,1.96349540849362,1.70043690396958,6.42552369862588,0.481388466691368,0.939997440179617,0.742599485825414
/spectral_mappings/crystal_colors,[9 7],uint8,1,35,102,68.8412698412698,27.3703432328511,5476.36507936508,0.461434153231835,0.551222344999385,0.728614537577482
/spectral_mappings/crystal_stops,[9 1],double,1,0,1,0.532222222222222,0.365471537119438,0.401988888888889,0.481388466691368,0.995716569025538,0.73095750208257
/spectral_mappings/phase_colors,[6 7],uint8,1,35,102,68.8571428571429,27.2357113387081,5465.42857142857,0.402861178815131,0.465748508671485,0.692424454483496
/spectral_mappings/phase_stops,[6 1],double,1,0,1,0.5,0.374165738677394,0.366666666666667,0.392555386676547,1,0.710058102099363
