event_id,peak_order,source_sample,target_time_sec,phase_rad,cycle_id,salience,next_interval_samples,next_interval_sec,row,column
E001,1,520000,0.00303720577069096,0,0,0.5877182,514,0.390280941533789,1000,520
E002,2,520514,0.39331814730448,3.22955724789031,0,1,484,0.367501898253607,514,521
E003,3,520998,0.760820045558087,6.27061893656523,0,0.6935769,516,0.391799544419134,998,521
E004,4,521514,1.15261958997722,3.22955724789031,1,0.933894,459,0.348519362186788,514,522
E005,5,521973,1.50113895216401,6.11353930388574,1,0.6682324,491,0.372817008352316,973,522
E006,6,522464,1.87395596051632,2.91539798253133,2,0.8971934,227,0.172361427486712,464,523
E007,7,522691,2.04631738800304,4.34168104726109,2,0.6807242,258,0.195899772209567,691,523
E008,8,522949,2.2422171602126,5.96274285651343,2,0.6855969,588,0.446469248291572,949,523
E009,9,523537,2.68868640850418,3.37407050995544,3,0.9145032,463,0.351556567957479,537,524
E010,10,524000,3.04024297646166,0,4,0.711911,536,0.406985573272589,1000,524
E011,11,524536,3.44722854973424,3.36778732464826,4,0.9287357,458,0.347760060744115,536,525
E012,12,524994,3.79498861047836,6.24548619533651,4,0.6796194,251,0.190584662110858,994,525
E013,13,525245,3.98557327258922,1.539380400259,5,0.6029879,287,0.217919514047077,245,526
E014,14,525532,4.20349278663629,3.34265458341954,5,0.9672089,413,0.313591495823842,532,526
E015,15,525945,4.51708428246014,5.93761011528471,5,0.6777737,301,0.228549734244495,945,526
E016,16,526246,4.74563401670463,1.54566358556618,6,0.5813043,287,0.217919514047077,246,527
E017,17,526533,4.96355353075171,3.34893776872672,6,0.9991104,411,0.312072892938497,533,527
E018,18,526944,5.2756264236902,5.93132692997753,6,0.6352748,588,0.446469248291572,944,527
E019,19,527532,5.72209567198178,3.34265458341954,7,0.9949729,460,0.349278663629461,532,528
E020,20,527992,6.07137433561124,6.23291982472215,7,0.7005317,542,0.411541381928626,992,528
E021,21,528534,6.48291571753986,3.3552209540339,8,0.9961739,236,0.179195140470767,534,529
E022,22,528770,6.66211085801063,4.83805268652828,8,0.5821983,221,0.167805618830676,770,529
E023,23,528991,6.82991647684131,6.22663663941497,8,0.6470069,255,0.193621867881549,991,529
E024,24,529246,7.02353834472285,1.54566358556618,9,0.6070448,286,0.217160212604404,246,530
E025,25,529532,7.24069855732726,3.34265458341954,9,1,468,0.355353075170843,532,530
E026,26,530000,7.5960516324981,0,10,0.7332467,534,0.405466970387244,1000,530
E027,27,530534,8.00151860288535,3.3552209540339,10,1,427,0.32422171602126,534,531
E028,28,530961,8.32574031890661,6.03814108019958,10,0.6351441,573,0.435079726651481,961,531
E029,29,531534,8.76082004555809,3.3552209540339,11,0.9927873,459,0.348519362186788,534,532
E030,30,531993,9.10933940774487,6.23920301002933,11,0.6655337,514,0.390280941533789,993,532
E031,31,532507,9.49962034927866,3.18557495074005,12,1,434,0.32953682611997,507,533
E032,32,532941,9.82915717539863,5.91247737405599,12,0.6845198,590,0.447987851176917,941,533
E033,33,533531,10.2771450265755,3.33637139811236,13,1,243,0.184510250569476,531,534
E034,34,533774,10.461655277145,4.863185427757,13,0.6337889,213,0.161731207289294,774,534
E035,35,533987,10.6233864844343,6.20150389818625,13,0.6564069,542,0.411541381928626,987,534
E036,36,534529,11.0349278663629,3.323805027498,14,1,245,0.186028853454822,529,535
E037,37,534774,11.2209567198178,4.863185427757,14,0.6128455,222,0.168564920273349,774,535
E038,38,534996,11.3895216400911,6.25805256595087,14,0.6970142,528,0.400911161731207,996,535
E039,39,535524,11.7904328018223,3.2923891009621,15,1,472,0.358390280941534,524,536
E040,40,535996,12.1488230827639,6.25805256595087,15,0.6806765,529,0.40167046317388,996,536
E041,41,536525,12.5504935459377,3.29867228626928,16,1,235,0.178435839028094,525,537
E042,42,536760,12.7289293849658,4.77522083345649,16,0.5886846,236,0.179195140470767,760,537
E043,43,536996,12.9081245254366,6.25805256595087,16,0.6729102,528,0.400911161731207,996,537
E044,44,537524,13.3090356871678,3.2923891009621,17,1,248,0.18830675778284,524,538
E045,45,537772,13.4973424449506,4.85061905714264,17,0.6053579,228,0.173120728929385,772,538
E046,46,538000,13.67046317388,0,18,0.6631575,526,0.399392558845862,1000,538
E047,47,538526,14.0698557327259,3.30495547157646,18,1,245,0.186028853454822,526,539
