0.79,0.14,0,0,0,0,0,0,0.07,0
0.418333333333333,0.325,0.0933333333333333,0.0933333333333333,0,0,0,0,0.07,0
0.216666666666667,0.216666666666667,0.31,0.0933333333333333,0,0,0.0933333333333333,0,0.0466666666666667,0.0233333333333333
0.1625,0.1625,0.1625,0.3025,0.14,0,0,0,0.035,0.035
0.186,0.186,0.13,0.186,0.13,0.056,0.056,0,0.042,0.028
0.164333333333333,0.108333333333333,0.164333333333333,0.164333333333333,0.164333333333333,0.164333333333333,0,0,0.042,0.028
0.0928571428571429,0.162857142857143,0.0928571428571429,0.162857142857143,0.0928571428571429,0.162857142857143,0.162857142857143,0,0.035,0.035
0.15125,0.08125,0.08125,0.15125,0.08125,0.15125,0.08125,0.15125,0.035,0.035
0.128222222222222,0.0722222222222222,0.128222222222222,0.128222222222222,0.0722222222222222,0.0722222222222222,0.128222222222222,0.128222222222222,0.114222222222222,0.028
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
