lag_samples,acf_score,phase_score,combined_score
1000,0.963316758915628,0.999999999999986,0.976522725705997
998,0.937794579333014,1.00000000000007,0.960188530773153
1002,0.936615848120616,1.00000000000005,0.959434142797213
2000,0.922822706309914,0.999999999999947,0.950606532038326
1998,0.908099757479364,1.00000000000008,0.941183844786823
2002,0.907366957502038,0.999999999999914,0.940714852801274
1004,0.903296957555677,0.999999999999938,0.938110052835611
996,0.902961284043562,1.00000000000005,0.937895221787896
3000,0.886759226204016,0.999999999999947,0.927525904770551
2004,0.87841102794434,0.999999999999907,0.922183057884344
1996,0.876273352536057,1.00000000000007,0.920814945623101
3002,0.875299839752154,1.00000000000008,0.920191897441408
2998,0.873858211746878,0.999999999999914,0.919269255517971
994,0.872463468106679,0.999999999999976,0.918376619588266
1006,0.872077996511883,1.00000000000008,0.918129917767634
3004,0.851140617799517,1.00000000000007,0.904729995391715
2996,0.850744683309689,0.999999999999907,0.904476597318168
1994,0.849465031514836,1.00000000000003,0.903657620169504
2006,0.84815902381984,0.999999999999909,0.902821775244665
992,0.843134450254,0.999999999999963,0.899606048162547
1008,0.842432707857495,1.00000000000001,0.8991569330288
2994,0.824430568526565,0.999999999999909,0.887635563856969
3006,0.82217998656114,1.00000000000003,0.886195191399139
1992,0.821682403059457,0.999999999999998,0.885876737958051
2008,0.819168990522008,0.999999999999962,0.884268153934071
990,0.812504325049568,0.999999999999928,0.880002768031698
1010,0.811912641713457,1.00000000000004,0.879624090696627
2992,0.799163537896838,0.999999999999962,0.871464664253963
3008,0.794580657431374,0.999999999999998,0.868531620756079
1990,0.79186460907876,1,0.866793349810406
2010,0.788369604813144,0.999999999999927,0.864556547080386
988,0.784736265182207,0.999999999999947,0.862231209716593
1012,0.780216294528641,0.999999999999944,0.85933842849831
2990,0.768981926540809,0.999999999999927,0.852148432986091
3010,0.76698007010537,1,0.850867244867437
1988,0.762518440024732,1.00000000000004,0.848011801615843
2012,0.761191638981383,1.00000000000002,0.847162648948091
986,0.754415656252312,0.999999999999973,0.84282602000147
1014,0.752795761706374,0.999999999999953,0.841789287492062
2988,0.74240094171353,1.00000000000002,0.835136602696665
3012,0.739704494733886,1.00000000000004,0.833410876629701
1986,0.734771901935126,0.999999999999922,0.830254017238452
2014,0.734251869563723,0.999999999999951,0.829921196520765
1016,0.727846524958011,1.00000000000002,0.825821775973135
984,0.726874733916329,0.999999999999993,0.825199829706448
2986,0.713857104534188,0.999999999999952,0.816868546901863
3014,0.713513550740372,0.999999999999922,0.81664867247381
2016,0.707658898761756,1.00000000000008,0.812901695207552
1984,0.70765379975595,0.999999999999901,0.812898431843772
1018,0.701173625584507,0.999999999999928,0.808751120374058
982,0.701132502433782,1.00000000000004,0.808724801557635
2984,0.688579544788574,1.00000000000008,0.800690908664715
3016,0.688074544551173,0.999999999999901,0.800367708512715
1982,0.684417762737697,1.00000000000003,0.798027368152136
2018,0.682830448852237,0.99999999999996,0.797011487265417
980,0.680540001932325,0.99999999999995,0.79554560123667
1020,0.67994169651075,0.999999999999997,0.795162685766879
2982,0.667207359944714,0.99999999999996,0.787012710364602
3018,0.664661234305078,1.00000000000003,0.78538318995526
1980,0.664365558189159,0.999999999999898,0.785193957241025
2020,0.662266754422543,0.999999999999926,0.783850722830401
978,0.661618319814015,0.999999999999985,0.783435724680964
1022,0.660032330345647,0.999999999999977,0.782420691421206
2980,0.647546388205324,0.999999999999926,0.774429688451381
3020,0.645530757832123,0.999999999999898,0.773139685012522
1978,0.643759416191648,1.00000000000008,0.772006026362683
2022,0.643472679891104,0.999999999999994,0.771822515130304
1024,0.643439701905498,1.00000000000007,0.771801409219543
976,0.642994697762391,1.00000000000007,0.771516606567956
974,0.629270822965631,0.999999999999939,0.762733326697982
3022,0.628467762661543,1.00000000000008,0.762219368103416
2978,0.627618943746907,0.999999999999994,0.761676123998018
2024,0.627184270057121,1.00000000000008,0.761397932836587
1026,0.627135531508114,1.00000000000003,0.761366740165205
1976,0.626798467358052,0.999999999999954,0.761151019109137
1028,0.617027050490687,0.999999999999977,0.754897312314031
972,0.615535293298456,0.999999999999918,0.753942587710982
3024,0.612902881885239,0.999999999999955,0.752257844406537
1974,0.612281862710527,1.00000000000003,0.751860392134748
2026,0.611393178841404,0.999999999999935,0.751291634458475
2976,0.610528599363366,1.00000000000008,0.750738303592583
1030,0.603806785293381,0.999999999999921,0.746436342587736
970,0.599661690897871,0.999999999999972,0.743783482174627
2028,0.599614674091084,1.00000000000008,0.743753391418322
1972,0.598975444181349,1.00000000000005,0.743344284276082
3026,0.596183043183348,1.00000000000003,0.741557147637354
2974,0.596133973530068,0.999999999999935,0.74152574305922
1032,0.589305014117293,0.999999999999961,0.737155209035053
2030,0.589226211300284,1.00000000000002,0.737104775232189
968,0.587624130164242,1.00000000000008,0.736079443305143
1970,0.585790474699561,1.00000000000001,0.734905903807724
2972,0.584679553642303,1.00000000000008,0.734194914331102
3028,0.583906756268781,1.00000000000005,0.733700324012038
966,0.576196066176619,1.00000000000005,0.728765482353053
1034,0.576097529544931,1.00000000000012,0.728702418908798
2032,0.575450949120332,0.999999999999977,0.728288607437004
3030,0.575097263535758,1.00000000000001,0.72806224866289
1968,0.573633848869309,0.999999999999971,0.727125663276347
2970,0.571188445149564,1.00000000000002,0.725560604895728
964,0.563786807785957,0.999999999999975,0.720823556983003
1036,0.562727870099582,0.999999999999916,0.720145836863702
3032,0.562399613323186,0.999999999999971,0.719935752526828
2034,0.561977455374925,1.00000000000008,0.719665571439979
1966,0.561115326068508,0.999999999999947,0.719113808683826
2968,0.55885984375984,0.999999999999977,0.717670300006289
1038,0.551091640855433,0.999999999999924,0.71269865014745
1964,0.550147728793549,0.999999999999989,0.712094546427868
962,0.549816756962113,1.00000000000003,0.711882724455764
2036,0.549049191036107,0.999999999999906,0.711391482263075
3034,0.547664711628375,0.999999999999947,0.710505415442141
2966,0.546611468935499,1.00000000000008,0.709831340118747
1040,0.538117419243502,0.999999999999968,0.70439514831583
1962,0.53673307227748,0.999999999999993,0.703509166257585
2038,0.536320383911431,0.999999999999902,0.703245045703281
960,0.535857566358428,0.999999999999991,0.702948842469391
2964,0.534774524280969,0.999999999999906,0.702255695539786
3036,0.534639930393935,0.999999999999989,0.702169555452115
1960,0.523251069152253,1.00000000000006,0.694880684257465
2040,0.522899601966309,0.999999999999908,0.694655745258405
958,0.522431784738782,1.00000000000003,0.69435634223283
1042,0.521906024263454,1.00000000000005,0.69401985552863
3038,0.521312321191276,0.999999999999993,0.693639885562414
2962,0.521210473516856,0.999999999999902,0.693574703050753
3040,0.511440612839575,1.00000000000006,0.687321992217351
2042,0.509888462227923,0.999999999999968,0.686328615825859
1958,0.509030869050048,0.999999999999949,0.685779756192012
1044,0.508883362096362,1.00000000000006,0.685685351741693
2960,0.508563283595512,0.999999999999907,0.685480501501094
956,0.506634601204438,0.999999999999986,0.684246144770835
1046,0.497686243339258,1.00000000000006,0.678519195737145
3042,0.497407122436996,0.999999999999949,0.678340558359659
2044,0.495941654924054,1.0000000000001,0.677402659151429
2958,0.494619456230101,0.999999999999968,0.676556451987253
1956,0.493898278012762,0.999999999999927,0.676094897928142
954,0.493663525083102,1.00000000000004,0.6759446560532
3044,0.486066635529621,0.999999999999927,0.671082646738931
2046,0.485343371355361,1.00000000000006,0.670619757667454
1048,0.482095966865203,0.999999999999989,0.668541418793726
1954,0.48127350385071,1.00000000000008,0.668015042464484
2956,0.480295355606983,1.0000000000001,0.667389027588504
952,0.480237478580037,1.00000000000006,0.667351986291244
3046,0.474378952681425,1.00000000000008,0.663602529716142
2048,0.472147938978542,0.999999999999973,0.662174680946257
2954,0.467876528302826,1.00000000000006,0.659440978113832
1050,0.467296201843284,1.00000000000006,0.659069569179723
1952,0.466373579786164,0.999999999999963,0.658479091063132
3048,0.463227460093161,0.999999999999963,0.65646557445961
950,0.462254377744813,1.00000000000008,0.655842801756709
2050,0.459144215975874,1.00000000000006,0.65385229822458
1052,0.453700828614932,0.999999999999922,0.650368530313528
2952,0.453331846012938,0.999999999999973,0.650132381448271
3050,0.45160715696455,1.00000000000002,0.649028580457318
1950,0.450062853524171,1.00000000000002,0.648040226255475
948,0.448142912285909,0.999999999999992,0.646811463862979
2052,0.444489607067302,1.00000000000005,0.644473348523092
3052,0.437944735120886,0.999999999999898,0.64028463047733
1054,0.437901857117513,0.999999999999978,0.640257188555201
2950,0.437551449465243,1.00000000000006,0.640032927657776
1948,0.435658989881652,0.999999999999898,0.638821753524221
946,0.431811723779836,1.00000000000001,0.636359503219099
2054,0.42932380627142,1.00000000000001,0.634767236013712
2948,0.422480212049772,1.00000000000005,0.630387335711873
3054,0.422045968795541,1.00000000000002,0.630109420029153
1056,0.420646920799792,1.00000000000002,0.629214029311873
1946,0.418526131709439,1.00000000000002,0.627856724294047
2056,0.413671116641877,1.00000000000005,0.62474951465082
944,0.413302398923302,0.999999999999977,0.624513535310905
3056,0.407802756946352,0.999999999999941,0.620993764445644
1058,0.404203223061704,1.00000000000006,0.618690062759512
2946,0.403882482352308,1.00000000000001,0.61848478870548
1944,0.400690504717474,0.999999999999941,0.616441923019162
2058,0.398931513266388,1.00000000000001,0.615316168490491
942,0.396531669494628,0.999999999999918,0.613780268476532
3058,0.39341965354176,0.99999999999999,0.611788578266722
1060,0.388588080656736,1.00000000000002,0.608696371620318
2944,0.387288695047203,1.00000000000005,0.607864764830229
1942,0.383358685987528,0.99999999999999,0.605349559032014
2060,0.382271405775372,0.999999999999974,0.604653699696229
940,0.380620023213058,1.00000000000007,0.603596814856383
3060,0.377638363012527,0.999999999999986,0.601688552328012
1062,0.3737394446441,1.00000000000003,0.599193244572235
2942,0.370417111256929,1.00000000000001,0.597066951204437
2062,0.369230830867103,0.99999999999994,0.596307731754924
1940,0.368080673953477,0.999999999999986,0.59557163133022
938,0.365453858202476,0.999999999999929,0.593890469249559
3062,0.363421374621771,1.00000000000007,0.592589679757959
1064,0.359290749482997,0.999999999999922,0.58994607966909
2940,0.355808128517197,0.999999999999974,0.587717202250996
1938,0.353587312825927,1.00000000000007,0.586295880208619
2064,0.352600092325116,0.999999999999966,0.585664059088062
936,0.35201142203789,1.00000000000006,0.585287310104273
3064,0.348160977335052,1.00000000000003,0.582823025494442
1066,0.345074489521642,1.00000000000001,0.580847673293856
2938,0.340488662228148,0.99999999999994,0.577912743825993
2066,0.33858087251671,1,0.576691758410695
1936,0.33845041743309,1.00000000000003,0.576608267157187
934,0.337552959300729,0.999999999999962,0.576033893952453
3066,0.333570039778205,1,0.573484825458051
1068,0.329541030540859,1.00000000000002,0.570906259546156
2936,0.326628670464698,0.999999999999966,0.569042349097394
1934,0.324931165077134,1,0.567955945649366
932,0.324467850867722,0.999999999999911,0.56765942455531
2068,0.322569795621914,1.00000000000008,0.566444669198054
