branch_id,euclidean_length,metric_length,curvature_energy,phase_coherence,intrinsic_geodesic_compatibility
B0001,16,253.730680143869,8.88178419700125e-16,0.984671189197142,0.541273118154165
B0002,64.9411254969543,2014.43435193387,0.342694597260048,0.944297176468285,0.449920630111917
B0003,42.6274169979695,1005.50178903674,0.475855926481095,0.986578189872623,0.581694278211748
B0004,36.2652412493486,870.17957371807,0.645998316619182,0.954133828464917,0.472965757409475
B0005,29.7279220613579,729.029825228894,0.271414121029958,0.997747315679582,0.697215818166831
B0006,26.7279220613579,617.219186287827,0.364502435267505,0.877214192293818,0.575652888320876
B0007,12.4852813742386,294.868868860265,0.342694597260048,0.987456769900412,0.635449400636655
B0008,28.142135623731,880.043281829563,0.455932812006846,0.999354939118852,0.531065397927502
B0009,17.0710678118655,531.883180356386,0.308425137534043,0.999538448832412,0.607743449875326
B0010,25.5563491861041,584.499075664415,0.709377816328298,0.958655449113797,0.421104366154058
B0011,41.9411254969543,1319.80257144264,0.278577543579136,0.964351029392797,0.597558701248238
B0012,19.3137084989848,460.242725362625,0.699096978410497,0.98403412005797,0.463706141342777
B0013,14.0710678118655,356.833224463135,0.336463786400774,0.997249368892688,0.551280764907315
B0014,30.3137084989848,936.225795268879,0.308425137534043,0.997095381940013,0.456816145305112
B0015,11.2426406871193,227.577498331756,0.342694597260048,0.972381651082518,0.633091074632224
B0016,29.7989898732233,842.518649550804,0.375474080476226,0.993451792607568,0.664345205127492
B0017,32.7279220613579,976.415456115551,0.242334036633891,0.991481341585433,0.637729514041628
B0018,23.5563491861041,680.535806228004,0.376964056986053,0.995955843485726,0.619314584313112
B0019,12.0710678118655,321.942135451911,0.205616758356029,0.998904751942409,0.682557974618528
B0020,27.6568542494924,706.033160299144,0.197392088021788,0.997753855802174,0.737961206562671
B0021,12.0710678118655,325.63584428185,0.342694597260048,0.971594437783083,0.577061789787551
B0022,17.4852813742386,479.567470561707,0.308425137534043,0.995139800940529,0.694114770740473
B0023,56.4388052988114,1291.76200344469,0.872533964671212,0.974023451034129,0.339819330261352
B0024,49.2132034355964,1340.21037418038,0.367172782778622,0.994437088568057,0.563524151863961
B0025,18.8994949366117,354.703866720233,1.11033049512255,0.958850296058589,0.291215083800187
B0026,44.5979797464467,1383.9328543152,0.154212568767022,0.998304464670257,0.76251152530496
B0027,23.5563491861041,481.466324275775,1.06235325150615,0.988712021601016,0.311004023470414
B0028,47.2132034355964,1355.67290058488,0.323846394410745,0.926709625353397,0.469596087238257
B0029,27.4558441227157,859.489815156861,0.129863215803808,0.998711020931257,0.756420484291211
B0030,12.8284271247462,335.308183031309,0.22430919093385,0.995618947397346,0.647010306546903
B0031,35.142135623731,990.689462656187,0.328986813369646,0.998266876967049,0.639886410993055
B0032,22.5563491861041,628.987767067693,0.253997172086859,0.999812663367962,0.666476611918544
B0033,11.6568542494924,252.245843889376,0.274155677808039,0.985282396206075,0.60806793236766
B0034,10.8284271247462,273.288493277367,0.205616758356029,0.996334310444678,0.751569116289454
B0035,15.0710678118655,466.153162227334,0.411233516712057,0.999573556672918,0.611957447067193
B0036,31.5563491861041,964.49585408067,0.308425137534043,0.999711017393706,0.660332096830915
B0037,16.8284271247462,360.732331733406,0.123370055013618,0.998615325840644,0.750556700458514
B0038,14.6568542494924,349.710981300713,0.411233516712057,0.997048243417708,0.461458609029756
