period_samples,acf_score,spectral_score,harmonic_score,combined_score
1000,0.867070571506621,1,0.797319998031668,0.892999285359644
2000,0.830622303301726,0.00061077180734167,0.702418407961655,0.555978064785396
3000,0.798161996578835,0.000425329716646192,0.701318237793059,0.539472244763023
500,0,0.769461289403898,0.565897624936116,0.344017911808393
3498,0,0.000224108707749152,0.655106341389393,0.131088500890203
334,0,0.225434336297705,0.281012460114284,0.123832792912168
3495,0,0.000224108707749152,0.606251803264594,0.121317593265244
3492,0,0.000224108707749152,0.549399445143408,0.109947121641006
1499,0,5.3868634233605e-05,0.490703356864604,0.0981568319631908
494,0,0.0368987981787649,0.423502160842155,0.0957700716220604
492,0,0.0368987981787649,0.390191048511883,0.089107849156006
1496,0,5.3868634233605e-05,0.429031665268911,0.0858224936440523
