id,x_pixel,y_pixel,p_x,p_y,amplitude,phase,tau,q
1,50,125,0.1953125,0.48828125,15.2781084635107,-3.00837562451212,0.350450462030837,0.0147028974248131
2,50,126,0.1953125,0.4921875,15.6988939256262,3.01909201377342,0.0417530195214475,0.0152669549034869
3,50,127,0.1953125,0.49609375,16.0843878663231,2.77189166647658,0.0183061874118556,0.016889685903448
4,50,128,0.1953125,0.5,16.4623087999886,2.5239973407156,0.0374706909206245,0.0187424705229042
5,50,129,0.1953125,0.50390625,16.8524080874302,2.2723026412278,0.0747377153938043,0.0207309487749518
6,50,130,0.1953125,0.5078125,17.2603195960889,2.0163795002409,0.121281009098143,0.0227280552152172
7,51,123,0.19921875,0.48046875,18.2713278433732,-2.60528771083884,0.229843129492573,0.0175990371684912
8,51,124,0.19921875,0.484375,19.0913416209652,-2.82487710952369,0.0991670201329495,0.0185353109282467
9,51,125,0.19921875,0.48828125,19.8291566747282,-3.04659431261199,0.0516807040381371,0.0198077989461549
10,51,126,0.19921875,0.4921875,20.5041680345293,3.00203760256859,0.0395316974784605,0.0212804330583445
11,51,127,0.19921875,0.49609375,21.1388295916452,2.74765790409194,0.0624995050709432,0.0230033492156162
12,51,128,0.19921875,0.5,21.7527143108152,2.47129344396411,0.135505004051895,0.0251062967617777
13,51,129,0.19921875,0.50390625,22.3549763294046,2.17491710579287,0.247956264761918,0.0275713782151977
14,51,130,0.19921875,0.5078125,22.9381744802876,1.86342529784518,0.334568139833374,0.0299055956185671
15,51,131,0.19921875,0.51171875,23.4763537177451,1.54361655625146,0.321120277131978,0.0314917704562764
16,51,132,0.19921875,0.515625,23.92875660532,1.22324152547377,0.19820798473127,0.0321370269365942
17,51,133,0.19921875,0.51953125,24.2482861138034,0.909914046663551,0.0232661570011336,0.0321215588284052
18,51,134,0.19921875,0.5234375,24.3918511083429,0.609970535818372,0.132146650799178,0.0341987028864969
19,51,135,0.19921875,0.52734375,24.3290302979846,0.327583859341252,0.224224298202731,0.0359245474556372
20,51,136,0.19921875,0.53125,24.0465767382131,0.0644207049198151,0.245560348959568,0.0367109794857268
21,51,137,0.19921875,0.53515625,23.548482442157,-0.180094620894251,0.212712877701751,0.036679203321481
22,52,123,0.203125,0.48046875,23.715695286581,-2.53601066959736,0.193951212905168,0.0241764407517055
23,52,124,0.203125,0.484375,24.8662905775532,-2.74216396571382,0.178664877219241,0.0251091542044883
24,52,125,0.203125,0.48828125,25.9274090840845,-2.96721188030961,0.147153088762539,0.0258763178566914
25,52,126,0.203125,0.4921875,26.9100194295355,3.05366025800114,0.102391735001068,0.0265786845485107
26,52,127,0.203125,0.49609375,27.8274272298299,2.73909739948676,0.199569950386991,0.0283614502136475
27,52,128,0.203125,0.5,28.6897222960907,2.36970091617363,0.649269899480197,0.0330079465893531
28,52,129,0.203125,0.50390625,29.4955827568419,1.96090748151688,0.833808324920674,0.0364146357032973
29,52,130,0.203125,0.5078125,30.2255949395679,1.54232458504675,0.519652644385153,0.0364816001985647
30,52,131,0.203125,0.51171875,30.8413539929445,1.14281335308419,0.0872462110118529,0.0356149780025622
31,52,132,0.203125,0.515625,31.2921446989153,0.77847023268957,0.207805908312718,0.0397378303799734
32,52,133,0.203125,0.51953125,31.5273276347235,0.453338414632312,0.324426072207833,0.0439278390824525
33,52,134,0.203125,0.5234375,31.5096264257923,0.165595405149815,0.315164569331839,0.0464980044322674
34,52,135,0.203125,0.52734375,31.2240502395132,-0.0883820455151183,0.24375107267991,0.0477355982972214
35,52,136,0.203125,0.53125,30.6795917054174,-0.312798039049849,0.156659058041279,0.0480701122468811
36,52,137,0.203125,0.53515625,29.9045914704835,-0.51240860644796,0.0792399213460706,0.0477194858379053
37,53,123,0.20703125,0.48046875,30.8560762543431,-2.29729583617997,0.608892987789699,0.0332548094695668
38,53,124,0.20703125,0.484375,32.4174225640476,-2.47963353111255,0.902772270929753,0.0353715409277821
39,53,125,0.20703125,0.48828125,33.8645259965946,-2.70588755239828,1.47213775856115,0.0392810925280314
40,53,126,0.20703125,0.4921875,35.1960745170423,-3.05006374340065,2.8346992447849,0.073651664206243
41,53,127,0.20703125,0.49609375,36.4142090346734,2.66606831735324,3.82956641831063,0.0563654354457182
42,53,128,0.20703125,0.5,37.5193335296802,1.93505253767498,1.78988924176559,0.0439938233969841
43,53,129,0.20703125,0.50390625,38.5008572450158,1.33636828343954,0.0386246212302186,0.0343924850672246
44,53,130,0.20703125,0.5078125,39.3297268416423,0.910466989510953,0.444497108844907,0.0438742461285603
45,53,131,0.20703125,0.51171875,39.9586308441955,0.577083468272698,0.478614733802986,0.0508177884372294
46,53,132,0.20703125,0.515625,40.3318840296146,0.292345128708651,0.385653107972963,0.0560338827035851
47,53,133,0.20703125,0.51953125,40.4016659024673,0.0390946057918286,0.268262369293045,0.0598264356614154
48,53,134,0.20703125,0.5234375,40.1435968302146,-0.188557601036149,0.161282609162483,0.062254450729812
49,53,135,0.20703125,0.52734375,39.5648357201746,-0.392267528721377,0.0758474466885646,0.0634278449231186
50,53,136,0.20703125,0.53125,38.7019197372225,-0.572779359766328,0.0147575141291914,0.0636000068217374
51,53,137,0.20703125,0.53515625,37.61081441852,-0.73166631242954,0.0236423670716588,0.063717091014089
52,54,123,0.2109375,0.48046875,39.9316738536889,-1.72831225647271,0.837352342074534,0.0417805413562998
53,54,124,0.2109375,0.484375,41.9756400920807,-1.69360491329157,0.900323457505893,0.0412210588042638
54,54,125,0.2109375,0.48828125,43.8586821600983,-1.54066208715355,0.825715245901612,0.0393691528183027
55,54,126,0.2109375,0.4921875,45.5649486967414,-1.02298697915114,1.40807748223261,0.0429198287066618
56,54,127,0.2109375,0.49609375,47.0847612082136,0.131964296125045,3.78640263877335,0.0658251705824114
57,54,128,0.2109375,0.5,48.4095112475783,0.473320831490319,1.503443332824,0.0544904224965122
58,54,129,0.2109375,0.50390625,49.5212100331292,0.455190221998621,0.769333713961821,0.0565233334613899
59,54,130,0.2109375,0.5078125,50.3844787766147,0.330793842575455,0.424548035929938,0.0621370996665899
60,54,131,0.2109375,0.51171875,50.9482400296527,0.163118615635634,0.256708607955812,0.0690987440407359
61,54,132,0.2109375,0.515625,51.1587847080584,-0.0225443688343351,0.161727094715962,0.0757099737438057
62,54,133,0.2109375,0.51953125,50.9790509717761,-0.212201427592259,0.0952730897339436,0.0808014656258548
63,54,134,0.2109375,0.5234375,50.4050517388059,-0.39643139603531,0.0414477826211925,0.0837600803556509
64,54,135,0.2109375,0.52734375,49.4717644771838,-0.568323337732602,0.00265909027909039,0.0846542814275809
