index,final,reference
1,-4.77038531901837e-15,-1.60062566669048e-15
2,1.09369759105116,0.684612891327827
3,1.69435330029136,1.97338809599403
4,2.61812933335254,2.82605415572604
5,4.02381837619524,3.42432813287689
6,4.65572345996975,3.61135869938771
7,5.07094912287333,4.65100082013109
8,5.18151511101507,5.01689269667823
9,5.34526082063773,5.13521316323902
10,5.47246736477915,5.80329206315232
11,5.52594572220197,6.02452139645779
12,6.13851618351944,6.13572035031433
13,6.71525335891957,6.88741775432377
14,6.80596396777414,7.02086185017521
15,6.88720207399645,7.32918071622786
16,7.30758567748801,7.42198025169238
17,7.32817480599329,7.80557525325032
18,7.66252574757831,7.96544904439119
19,7.7137850402256,8.36128296798391
20,7.97147557982091,8.65757471247763
21,8.0269754516335,8.77266760877041
22,8.21638195052445,9.17668571341568
23,8.26250349628803,9.2064064074817
24,8.36569696995624,9.38648801811313
