rank,centroid_x,centroid_y,area,mean_score,max_score,mean_stability,mean_nullsurprise,mean_ridge,mean_proof,combined_rank_score
1,633.561549779304,478.312408043158,2039,0.739349318673461,0.897450199677177,0.706757826346636,0.463600948664024,0.851806013162852,0.691826673475991,0.805388081828131
2,783.818298969072,337.17912371134,1552,0.757785519563414,1,0.870757629886701,0.500690416962609,0.387486128397632,0.803581353856127,0.801530877669218
3,364.689753320683,478.468690702087,2108,0.733307927773963,0.888562117305381,0.729028500573018,0.367541641373676,0.858348823625019,0.678820311355138,0.760334877340037
4,784.610677083333,438.5,768,0.712953214904508,0.821878952004606,0.854940181518153,0.45482849903609,0.299696176885447,0.793212795692247,0.546054894808827
5,368.954601226994,521.575460122699,815,0.674347262290797,0.739305599095901,0.626034137156047,0.418871610401504,0.865231534792806,0.649247965258382,0.428780300921264
6,386.042296072508,324.761329305136,331,0.681390733134048,0.756899169264943,0.770990996380605,0.461804869194532,0.585789949390473,0.690457397253166,0.427640412907699
7,631.813655761024,521.486486486486,703,0.667844919660917,0.718774444967506,0.622663831105728,0.410001197101136,0.859631334945944,0.645162773439522,0.391367075281034
8,442.518731988473,333.239193083573,347,0.662847530967202,0.715607440283259,0.915256655348532,0.259562263385606,0.492612395048491,0.661838557224187,0.335870184066134
9,708.542435424354,327.708487084871,271,0.657092506615543,0.693114020954483,0.820065032333492,0.328175013297454,0.542927711299235,0.665537374738956,0.31038659284783
10,814.285714285714,35.5,14,0.640583377837302,0.646295346223059,0.55021216407355,0.507538206539165,0.777500653262831,0.657344859032157,0.239275372025161
11,815.05,27.925,40,0.636660057421255,0.649318564437216,0.544554455445545,0.518521176947861,0.7659750217024,0.657698935818377,0.236174034032289
12,398.095238095238,322.428571428571,21,0.64141920167891,0.65812226760889,0.779349363507779,0.267622227639031,0.601605970841367,0.643933174907206,0.195554830863369
