mode_index,mode_name,mode_energy_original,mode_energy_share,mode_projection,mode_contribution_share
1,laplacian_mode_01,1,0.0833333338157916,0.225817846967115,0.103046574389733
2,laplacian_mode_02,0.999999975717095,0.0833333317922162,0.172682912229416,0.0787997175594168
3,laplacian_mode_03,0.999999985882551,0.0833333326393375,0.196420959120267,0.0896320076005191
4,laplacian_mode_04,1.00000000941254,0.0833333346001701,0.158902109312374,0.0725111776941511
5,laplacian_mode_05,1.0000000127424,0.0833333348776583,0.205634715385021,0.0938364849396513
6,laplacian_mode_06,0.999999963831803,0.0833333308017752,0.217936404905449,0.0994500667770104
7,laplacian_mode_07,0.999999975046023,0.0833333317362935,0.159477117955897,0.0727735691382081
8,laplacian_mode_08,1.00000002653882,0.0833333360273602,0.190318498452977,0.0868472956056171
9,laplacian_mode_09,0.999999993160025,0.0833333332457937,0.144214685400674,0.0658089230183682
10,laplacian_mode_10,1.00000002608022,0.0833333359891436,0.172860765392517,0.0788808765973231
11,laplacian_mode_11,0.999999974737278,0.0833333317105648,0.137124329144596,0.0625734084954701
12,laplacian_mode_12,0.999999987377245,0.0833333327638954,0.210025025962773,0.0958398981845318
