roi_index,center_x,center_y,x_min,x_max,y_min,y_max,point_count,density_score,salience_score,boundary_score
1,0.299444444444444,0.00611111111111112,0.183333333333333,0.415555555555556,-0.11,0.122222222222222,20333,2.01597412578364,0.17309984680678,0.272222222222222
2,-0.299444444444444,-0.00611111111111112,-0.415555555555556,-0.183333333333333,-0.122222222222222,0.11,20407,2.0189550509869,0.175422716752974,0.272222222222222
3,0.116111111111111,0.250555555555556,0,0.232222222222222,0.134444444444444,0.366666666666667,23452,2.47776657602207,0.183531488306731,0.227777777777778
4,0.189444444444444,-0.226111111111111,0.0733333333333333,0.305555555555556,-0.342222222222222,-0.11,19275,1.97968563860533,0.184500931643777,0.205555555555556
5,-0.189444444444444,0.226111111111111,-0.305555555555556,-0.0733333333333333,0.11,0.342222222222222,18778,1.96739382837526,0.176863251584514,0.205555555555556
6,-0.116111111111111,-0.250555555555556,-0.232222222222222,0,-0.366666666666667,-0.134444444444444,23801,2.48070048664028,0.183578822727077,0.227777777777778
7,-0.482777777777778,0.226111111111111,-0.598888888888889,-0.366666666666667,0.11,0.342222222222222,213,0.285352231077306,0.0799517250337837,0.438888888888889
8,0.250555555555556,0.495,0.134444444444444,0.366666666666667,0.378888888888889,0.611111111111111,12,0.022244000261129,0.0123030795668546,0.45
9,0.0305555555555556,-0.519444444444444,-0.0855555555555556,0.146666666666667,-0.635555555555556,-0.403333333333333,13,0.0225702690579611,0.0124737570551695,0.472222222222222
10,0.666111111111111,-0.226111111111111,0.55,0.782222222222222,-0.342222222222222,-0.11,65,0.120820377767694,0.0523702776293006,0.605555555555556
11,-0.409444444444444,-0.825,-0.525555555555556,-0.293333333333333,-0.941111111111111,-0.708888888888889,1,0.00192007529240982,0.00105240275708943,0.75
12,0.238333333333333,-0.825,0.122222222222222,0.354444444444444,-0.941111111111111,-0.708888888888889,1,0.00192007529240982,0.00138031418548941,0.75
