dataset_path,parent_group,dataset_name,h5_storage_shape,matlab_read_shape,matlab_class,elements,bytes_in_memory,attributes_count,sha256_values,is_numeric,is_floating,is_integer,is_logical,nan_count,inf_count,finite_count,zero_count,below_zero_count,above_zero_count,min_value,max_value,mean_value,std_value,median_value,q01,q05,q25,q75,q95,q99,all_zero,unique_count_limited,decoded_ascii_colors
/n_4_geodesic_field/curl,/n_4_geodesic_field,curl,[48400 1],[48400 1],single,48400,193600,0,cfcdf245e7852e8134586c0569ed4434f469095dbd960764b949d042d4a2ffc6,1,1,0,0,0,0,48400,43590,2381,2429,-12.6009435653687,13.1933851242065,-6.21882035307517e-12,1.22585626766939,0,-5.24146488666534,0,0,0,0.00170327613595848,5.133453578949,0,NaN,
/n_4_geodesic_field/raw_points,/n_4_geodesic_field,raw_points,[2 194527],[2 194527],single,389054,1556216,0,37da923987e63f020f91eefd6fa37a74fcbdff16610c0a7137fbc2160236ef7d,1,1,0,0,0,0,389054,0,195689,193365,-0.934298276901245,0.950641751289368,-0.000715964502592912,0.154193521278625,-0.000962617981713265,-0.282428317666054,-0.227028375864029,-0.136547863483429,0.134941954165697,0.227094852924347,0.283691928386688,0,NaN,
/n_4_geodesic_field/vel,/n_4_geodesic_field,vel,[2 48400],[2 48400],single,96800,387200,0,20480fba615a85eee20a62af13ab6b9fb23132b982528658948b3c2dca19659b,1,1,0,0,0,0,96800,93930,1429,1441,-0.999995648860931,0.999995648860931,-0.000122248778923485,0.0971417574588153,0,-0.337538520395756,0,0,0,0,0.322532371878616,0,NaN,
/n_4_geodesic_field/xy,/n_4_geodesic_field,xy,[2 48400],[2 48400],single,96800,387200,0,3e9426aecad0b5beb622f29ff89be2b8854518bff2e5695ce467283707ac4fc0,1,1,0,0,0,0,96800,0,48400,48400,-1.10000002384186,1.10000002384186,0,0.637981933909369,0,-1.07990872859955,-0.99000000357628,-0.549999982118607,0.549999982118607,0.990000003576308,1.07990872859955,0,NaN,
/n_5_composite_field_1000x1000/data,/n_5_composite_field_1000x1000,data,[5 1000000],[5 1000000],single,5000000,20000000,0,9fbfc7c8d47ad1c77d9d46f6efa8d8de456459410cdf20d5ccbe66a01749f6e1,1,1,0,0,0,0,5000000,4,0,4999996,0,1,0.335358783772005,0.197695296813411,0.392611801624298,0.00388403072953224,0.0172021741047502,0.145558174699545,0.506084740161896,0.582368916273117,0.675714684724807,0,NaN,
/n_6_field_maps_v3_800x800/chamber_field/data,/n_6_field_maps_v3_800x800/chamber_field,data,[3 640000],[3 640000],single,1920000,7680000,0,d54de68cb7a71fa00ec47a46506249b1b0f4ec8b097749ad78762d52cc05c6db,1,1,0,0,0,0,1920000,640004,0,1279996,0,1,0.419856533979001,0.359694988191539,0.450015157461166,0,0,0,0.72925928235054,0.961097949743271,0.993481825590134,0,NaN,
/n_6_field_maps_v3_800x800/fuchsian_tiling/data,/n_6_field_maps_v3_800x800/fuchsian_tiling,data,[5 640000],[5 640000],single,3200000,12800000,0,5accf7c1a334d85d9e9f1e6a0ac98dbd69e2eb79d434ab7c003dcd2aeeb9b526,1,1,0,0,0,0,3200000,1401796,0,1798204,0,1,0.179665091150773,0.327389909151943,0.00810810830444098,0,0,0,0.1097755972296,1,1,0,NaN,
/n_6_field_maps_v3_800x800/ginibre_field/data,/n_6_field_maps_v3_800x800/ginibre_field,data,[3 640000],[3 640000],single,1920000,7680000,0,620fc5f58bc46011e82cef43d24e6bdcd33ac55580923dbf844d71c3746136fb,1,1,0,0,0,0,1920000,1131439,0,788561,0,1,0.230726408669464,0.33634938623821,0,0,0,0,0.536235183477402,0.890533453226089,0.932654262185097,0,NaN,
/n_6_field_maps_v3_800x800/modular_eta/data,/n_6_field_maps_v3_800x800/modular_eta,data,[3 640000],[3 640000],single,1920000,7680000,0,50a611ac32447e4537c5d6e300ea9c65fde71c23430dbf41fa0c54bb157fa00b,1,1,0,0,0,0,1920000,421922,0,1498078,0,1,0.643769723221128,0.469908540750343,0.985414654016495,0,0,0.0039718069601804,0.99602347612381,0.998999834060669,0.999567449092865,0,NaN,
/n_6_field_maps_v3_800x800/weyl_field/data,/n_6_field_maps_v3_800x800/weyl_field,data,[5 640000],[5 640000],single,3200000,12800000,0,acfdfa3ddc9c3713c255c4fa68fdee1702ed137a7f8effc3e6ffb30844e8c5e7,1,1,0,0,0,0,3200000,35496,1015122,2149382,-13.6551094055176,239.989440917969,7.38356105032536,25.7284885052324,1.46687936782837,-10.3071139240265,-8.09501490592957,-4.44089209850063e-16,7.53343713283539,28.8885642051696,158.258181457519,0,NaN,
/n_7_apollonian_circle_model/e8_chamber_angles,/n_7_apollonian_circle_model,e8_chamber_angles,[9 1],[9 1],double,9,72,0,0dde5dc6778eaa415b83b6fed6a56f5d69ed197921c7e9df03afdc9a9087eb68,1,1,0,0,0,0,9,1,0,8,0,5.49778714378214,1.96349540849362,1.70043690396958,1.5707963267949,0.031415926535898,0.15707963267949,0.785398163397448,2.74889357189107,4.5553093477052,5.30929158456675,0,9,
/spectral_mappings/crystal_colors,/spectral_mappings,crystal_colors,[9 7],[9 7],uint8,63,63,0,2d26b3d3ffd95673a7479e59851f1eaa03c0766081f20cf2a53fb1ca2a3b4618,1,0,1,0,0,0,63,0,0,63,35,102,68.8412698412698,27.3703432328511,55,35,35,48,100.5,102,102,0,12,#000000|#06001a|#0d0058|#0a1fa8|#0077cc|#00e5cc|#88ffee|#ccffff|#ffffff
/spectral_mappings/crystal_stops,/spectral_mappings,crystal_stops,[9 1],[9 1],double,9,72,0,8c5765082707727025d71d101540a0cb331ee9d41fed07639bc6d737c740ce5c,1,1,0,0,0,0,9,1,0,8,0,1,0.532222222222222,0.365471537119438,0.57,0.00800000000000001,0.04,0.25,0.84,0.972,0.9944,0,9,
/spectral_mappings/phase_colors,/spectral_mappings,phase_colors,[6 7],[6 7],uint8,42,42,0,dab3a4927968ba9482b64d631b3a36b0a8d2aac7714ee9217e059b987f2f319d,1,0,1,0,0,0,42,0,0,42,35,102,68.8571428571429,27.2357113387081,54,35,35,48,99,102,102,0,7,#6600cc|#0033ff|#00ccaa|#aaff00|#ff6600|#cc00aa
/spectral_mappings/phase_stops,/spectral_mappings,phase_stops,[6 1],[6 1],double,6,48,0,68809d765cf0e12a990023d1cfff950ff6f595c970046daad6bdc2e56ea5a187,1,1,0,0,0,0,6,1,0,5,0,1,0.5,0.374165738677394,0.5,0.01,0.05,0.25,0.75,0.95,0.99,0,6,
