index,t_step,t_clock,tau,dt,speed,S_projection_raw,S_projection_norm,S_temporal_raw,S_temporal_norm,S_combined_raw,S_combined_norm,S_memory_raw,S_memory_norm
1,0,0,0,1,0,0.349101102933493,0,0,0,0,0,0,0
2,1,1,0.000500250125062531,1,2.33828024868469,2.50200753286185,0.219845336383496,2.33828024868469,0.222959642642919,0.176966276297595,0.17912017127198,0.0265449414446393,0.0277205597747309
3,2,2,0.00100050025012506,1,1.5052995322747,1.7351821575702,0.141540501470628,1.5052995322747,0.143533285189108,0.119238863766898,0.120690145868732,0.0404490297929781,0.0422404302734885
4,3,3,0.00150075037518759,1,1.51008018133091,1.73967094748261,0.141998876955289,1.51008018133091,0.143989129524181,0.122385495921939,0.123875076366976,0.0527394997123222,0.0550752186556461
5,4,4,0.00200100050025012,1,1.50981623256996,1.73951525280248,0.141982978099281,1.50981623256996,0.143963961488206,0.124827626608013,0.126346930755902,0.0635527187466758,0.0663673318902598
6,5,5,0.00250125062531266,1,1.52030124730036,1.74925596555279,0.142977656846782,1.52030124730036,0.144963728363332,0.127787794257553,0.129343127248661,0.0731879800733075,0.0764293182053204
7,6,6,0.00300150075037519,1,2.35141850214958,2.51454031795823,0.221125129279757,2.35141850214958,0.224212401074733,0.192618244566709,0.194962643045487,0.0911025197473176,0.0951372542882035
8,7,7,0.00350175087543772,1,2.35789393775111,2.52058947210237,0.221742842297455,2.35789393775111,0.224829846656154,0.196695229312972,0.199089249658353,0.106941426182166,0.111677631802664
9,8,8,0.00400200100050025,1,2.35764442087064,2.5204470646354,0.22172830027322,2.35764442087064,0.224806054728503,0.199848139514358,0.202280534614408,0.120877433181995,0.126230834561295
10,9,9,0.00450225112556278,1,1.53697622722418,1.76495764204865,0.144581042996329,1.53697622722418,0.146553720652317,0.140530758213058,0.142241188585411,0.123825431936654,0.129309393836508
11,10,10,0.00500250125062531,1,1.53603049659989,1.76417424116189,0.144501045543082,1.53603049659989,0.146463543368329,0.141052797060633,0.142769581281153,0.126409536705251,0.132007943044139
12,11,11,0.00550275137568784,1,1.55681415736804,1.78339676090257,0.146463964720516,1.55681415736804,0.148445306495432,0.143146548738684,0.144888816465504,0.128920088510266,0.134629681785722
13,12,12,0.00600300150075038,1,2.20149607803028,2.3770329327155,0.207083479840812,2.20149607803028,0.20991700165689,0.19244253421033,0.194784794080208,0.138448455365276,0.144580039503057
14,13,13,0.00650325162581291,1,1.57130839499041,1.79691602321235,0.147844492331394,1.57130839499041,0.149827360696371,0.146659288865912,0.148444310915559,0.139680080390371,0.145866210549974
15,14,14,0.00700350175087544,1,1.57033264802523,1.79610498673643,0.147761672853319,1.57033264802523,0.14973432129496,0.146835781315304,0.148622951492875,0.140753435529111,0.146987102277877
16,15,15,0.00750375187593797,1,1.58454822104918,1.80928036784762,0.149107084828548,1.58454822104918,0.15108980427574,0.148130306775178,0.149933232903208,0.141859966216021,0.148142638827582
17,16,16,0.0080040020010005,1,2.41998674147156,2.57854324383456,0.227660826592565,2.41998674147156,0.230750518199265,0.211582046579601,0.214157257610383,0.152318278270558,0.159064127016027
18,17,17,0.00850425212606303,1,1.60325101129793,1.8266743806407,0.150883284918061,1.60325101129793,0.152873152286583,0.151866737167543,0.153715140201189,0.152250547105106,0.158993396183019
19,18,18,0.00900450225112556,1,2.21723756925834,2.39204979821747,0.208616936103385,2.21723756925834,0.211417983953965,0.198324025051432,0.200737869823414,0.159161568797055,0.166210492152723
20,19,19,0.00950475237618809,1,1.62074136714221,1.84295212349214,0.152545496430364,1.62074136714221,0.154540892280937,0.154567099451403,0.156448369180748,0.158472398395207,0.165490799876918
21,20,20,0.0100050025012506,1,1.62046629907057,1.84278619143154,0.152528552178086,1.62046629907057,0.154514663996714,0.15441246055803,0.156291848143827,0.15786340771963,0.164854838314909
22,21,21,0.0105052526263132,1,2.23076814000945,2.40476914601032,0.209915779961726,2.23076814000945,0.212708150614321,0.200482635241715,0.202922752927033,0.164256291847943,0.17153084952335
23,22,22,0.0110055027513757,1,2.23007083409411,2.40421446598,0.209859138476451,2.23007083409411,0.212641661117271,0.201712452075037,0.204167538128069,0.169874715882007,0.177398101466658
24,23,23,0.0115057528764382,1,1.66452952713436,1.88361649307995,0.156697963015339,1.66452952713436,0.158716179870751,0.160039689488067,0.161987567299039,0.168399461922916,0.175857511684564
25,24,24,0.0120060030015008,1,1.66424002316175,1.88343727010457,0.156679661553296,1.66424002316175,0.158688575094842,0.159726741366761,0.161670810218197,0.167098553839493,0.174498989181767
26,25,25,0.0125062531265633,1,2.25760508073681,2.42982678547739,0.212474555903419,2.25760508073681,0.215267105948083,0.204376748006266,0.206864261783589,0.172690282964509,0.180338363955954
27,26,26,0.0130065032516258,1,2.25686732190067,2.42923486105729,0.212414111184855,2.25686732190067,0.215196759185091,0.205443272340868,0.207943767017448,0.177603231370963,0.185468896274336
28,27,27,0.0135067533766883,1,1.78663325382757,1.99638481546689,0.168213368155071,1.78663325382757,0.170359011513451,0.170842315973682,0.172921674897239,0.176589094061371,0.184409845005794
29,28,28,0.0140070035017509,1,2.63491191155524,2.77746941085388,0.247974291913626,2.63491191155524,0.251244057903833,0.234841670439748,0.237699979403009,0.185326980518127,0.193534713649203
30,29,29,0.0145072536268134,1,1.82773728487752,2.03440331043396,0.172095649660035,1.82773728487752,0.174278362104226,0.17550586518712,0.177641985180774,0.183853813218476,0.191996302940205
31,30,30,0.0150075037518759,1,1.82673747694147,2.03357012138759,0.172010568058893,1.82673747694147,0.174183028441694,0.17513957822479,0.177271240060291,0.182546677969423,0.190631277484014
32,31,31,0.0155077538769385,1,2.73555044986128,2.8703877413724,0.257462703181792,2.73555044986128,0.260840141414115,0.243661601520631,0.246627259780194,0.191713916502104,0.200204513282797
33,32,32,0.016008004002001,1,2.73530916704354,2.87025291488193,0.257448935293536,2.73530916704354,0.260817134620618,0.245480801299729,0.248468601434814,0.199778949221748,0.208626728945103
34,33,33,0.0165082541270635,1,2.78472040282499,2.91583240813966,0.262103312691521,2.78472040282499,0.265528593599316,0.250837288315295,0.253890283416927,0.20743770008578,0.216624669402758
35,34,34,0.0170085042521261,1,2.78399903415257,2.91525557389436,0.262044408915244,2.78399903415257,0.265459809670825,0.252318457413805,0.255389480146149,0.214169813684984,0.223654933825312
36,35,35,0.0175087543771886,1,2.85282739489813,2.97871211919784,0.268524312246873,2.85282739489813,0.272022729887151,0.258877858708592,0.262028717338371,0.220876020438525,0.230658144043761
37,36,36,0.0180090045022511,1,2.85257519938204,2.97856724555174,0.268509518387271,2.85257519938204,0.2719986825463,0.260204026253182,0.263371025956103,0.226775221310724,0.236818607827114
38,37,37,0.0185092546273137,1,2.06199168313719,2.25077632852038,0.194190710682778,2.06199168313719,0.196614981913973,0.201556107739285,0.204009290891459,0.222992354275008,0.23286820575137
39,38,38,0.0190095047523762,1,2.06098310694984,2.24993506667821,0.194104804723231,2.06098310694984,0.196518812181351,0.200727217243928,0.203170311789902,0.219652583720346,0.229380523946252
40,39,39,0.0195097548774387,1,2.14021795389062,2.32297270576716,0.201563087215657,2.14021795389062,0.204074011421784,0.206059809988739,0.208567808678903,0.217613667660605,0.227251308682109
41,40,40,0.0200100050025013,1,2.13988907109989,2.32275722731203,0.201541083503469,2.13988907109989,0.204042651797747,0.205631149237893,0.208133930604981,0.215816289897198,0.225374328925638
42,41,41,0.0205102551275638,1,2.20573192850463,2.38346506503365,0.207740300905346,2.20573192850463,0.210320898370546,0.210258707816536,0.21281781220389,0.214982652585099,0.224503771611029
43,42,42,0.0210105052526263,1,2.47856614300131,2.63474670143001,0.233400076505715,2.47856614300131,0.236336179900277,0.230744227909688,0.233552666010218,0.217346888883787,0.226972714847392
44,43,43,0.0215107553776888,1,2.29576307602612,2.46653001302746,0.216222528084158,2.29576307602612,0.218905546207098,0.217386456587113,0.220032314352436,0.217352824039286,0.226978912858155
45,44,44,0.0220110055027514,1,2.29540886787856,2.46629121790095,0.216198143376032,2.29540886787856,0.218871771760239,0.217364849443155,0.220010444223238,0.217354627849867,0.226980796555624
46,45,45,0.0225112556278139,1,2.36619110420476,2.53154666677592,0.222861742829006,2.36619110420476,0.225620997874446,0.222726059099082,0.225436906325993,0.218160342537249,0.227822194612558
47,46,46,0.0230115057528764,1,3.20543350638004,3.30431171891913,0.301773111419924,3.20543350638004,0.305644419440377,0.286405515450548,0.289891419167749,0.228397118474244,0.238512335325575
48,47,47,0.023511755877939,1,2.45102056923139,2.60982250470024,0.23085492714949,2.45102056923139,0.2337096550055,0.231362520164044,0.234178483633855,0.228841928727714,0.23897684526791
49,48,48,0.0240120060030015,1,2.45062939817509,2.60954967838504,0.230827067326041,2.45062939817509,0.233672356072246,0.231425890667547,0.234242625433516,0.229229523018689,0.239381605275903
50,49,49,0.024512256128064,1,2.52348919523812,2.67671790587626,0.23768599131912,2.52348919523812,0.240619681708404,0.237021489295283,0.23990632930715,0.230398317960178,0.240602163630026
51,50,50,0.0250125062531266,1,2.67935363676005,2.82030724884021,0.252348703532788,2.67935363676005,0.255481664228256,0.24905516266168,0.252086467125021,0.233196844665403,0.243524631060409
52,51,51,0.0255127563781891,1,2.73151367348046,2.86841752137345,0.257261512980305,2.73151367348046,0.260455226808689,0.253566379157259,0.25665259061611,0.236252274839182,0.246715379661094
53,52,52,0.0260130065032516,1,2.59877058098087,2.74629029115604,0.244790417332351,2.59877058098087,0.247797910610738,0.244135411481153,0.247106836584625,0.237434745335477,0.247950219230915
54,53,53,0.0265132566283142,1,2.65621402915002,2.7992649203653,0.250199953490729,2.65621402915002,0.253275256913936,0.248723268057801,0.251750532959852,0.239128023743826,0.24971848929592
55,54,54,0.0270135067533767,1,2.77180548083675,2.90577553325708,0.26107634885752,2.77180548083675,0.264297130265151,0.257813957327452,0.26095186698251,0.24193091378137,0.25264551330122
56,55,55,0.0275137568784392,1,2.81849992412622,2.94885371693029,0.265475303521212,2.81849992412622,0.268749537710787,0.261912407539595,0.265100200322102,0.244928137845103,0.25577547796851
57,56,56,0.0280140070035018,1,2.72028546495771,2.85851647499741,0.256250461668075,2.72028546495771,0.259384594936757,0.255082943547519,0.258187613440864,0.246451358700466,0.257366158997483
58,57,57,0.0285142571285643,1,2.76548127779593,2.90021489237546,0.260508520665762,2.76548127779593,0.26369410500726,0.258812042792227,0.261962100362197,0.24830546131423,0.259302375825858
59,58,58,0.0290145072536268,1,2.76446202875303,2.89936380419729,0.260421611283998,2.76446202875303,0.26359691759677,0.259109738499515,0.262263419388578,0.249926102892023,0.260994792131402
60,59,59,0.0295147573786893,1,2.8087111162775,2.9401905859579,0.264590662685789,2.8087111162775,0.26781615553768,0.262786673225197,0.265985106885198,0.251855188441999,0.263009312728865
61,60,60,0.0300150075037519,1,2.88429937915813,3.00987087048726,0.271706106895858,2.88429937915813,0.275023645781566,0.268897061815084,0.272169866341391,0.254411469447962,0.265678805919294
62,61,61,0.0305152576288144,1,2.8410076083419,2.97010011355052,0.267644892104803,2.8410076083419,0.270895689880644,0.266135986794979,0.26937518567769,0.256170147050014,0.267515371567549
63,62,62,0.0310155077538769,1,3.65862778130709,3.72295790766,0.344523419055202,3.65862778130709,0.348857389161346,0.328369654191315,0.332366312553012,0.267000073121209,0.278824931757712
64,63,63,0.0315157578789395,1,3.70036478071706,3.76147184804737,0.348456293267574,3.70036478071706,0.352837094536127,0.333698329682294,0.337759844510435,0.277004811605372,0.289272758578471
65,64,64,0.032016008004002,1,2.88339559813109,3.00938804876316,0.271656803264788,2.88339559813109,0.274937468474577,0.273874637756331,0.277208025440225,0.276535285528016,0.2887824382016
66,65,65,0.0325162581290645,1,2.96189805729423,3.08175138954879,0.279046229379968,2.96189805729423,0.282422833093061,0.27972585190916,0.283130455991011,0.277013870485188,0.289282218656578
67,66,66,0.0330165082541271,1,2.90291859448161,3.02753721285679,0.273510116084044,2.90291859448161,0.276799024758123,0.2753619850002,0.278713475510354,0.27676608766244,0.289023462065856
68,67,67,0.0335167583791896,1,2.9052283030315,3.02975104537385,0.2737361829245,2.9052283030315,0.277019260032822,0.275491240860001,0.27884430457129,0.276574860642074,0.288823766012291
69,68,68,0.0340170085042521,1,2.90435404622916,3.02903344934941,0.273662905174391,2.90435404622916,0.276935897919004,0.275390843728542,0.278742685484545,0.276397258105044,0.288638297841109
70,69,69,0.0345172586293147,1,3.72022600094718,3.78028168547079,0.3503770711417,3.72022600094718,0.354730901134994,0.337104949032022,0.341207926563964,0.285503411744091,0.298147743427777
71,70,70,0.0350175087543772,1,3.71930096318545,3.7795173361883,0.350299019154495,3.71930096318545,0.354642696956345,0.338860184903062,0.342984525791913,0.293506927717936,0.306505717900002
72,71,71,0.0355177588794397,1,3.70961061524789,3.77068289895511,0.349396885277104,3.70961061524789,0.353718703130345,0.339731530013905,0.3438664762333,0.300440618062332,0.313746486467984
73,72,72,0.0360180090045022,1,2.90505972943142,3.03003243689657,0.273764917389272,2.90505972943142,0.277003186206918,0.28023345161006,0.283644233798088,0.297409543094491,0.310581171712894
74,73,73,0.0365182591295648,1,2.90491408514319,3.02998566334766,0.273760141080161,2.90491408514319,0.276989298736212,0.279620226662645,0.283023545156686,0.294741145629714,0.307794596666972
75,74,74,0.0370185092546273,1,2.90371316203924,3.02896731062076,0.273656151378291,2.90371316203924,0.276874788344975,0.278999673166915,0.282395438769615,0.292379924760294,0.305328802406751
76,75,75,0.0375187593796898,1,2.88582152359,3.01258206977525,0.271982962643598,2.88582152359,0.27516878526122,0.277177392983105,0.280550979218007,0.290099544993716,0.302947429527841
